English,Spanish(es),Portuguese (Brazil)(pt-BR),Japanese (jp),Korean (ko),Simplified Chinese (zh-CN),Strategy,Check
Squat Boy,Fortachín,Marombinha,スクワットボーイ,스쿼트 보이,健美男孩,transcreate creature pun (new 260701),warn
Squat Daddy,Fortachón,Maromba,スクワットダディ,스쿼트 대디,健美老爹,transcreate creature pun,warn
Squelch,Silenciador,Esmaganhoto,スクウェルチ,끽소리,噗嗤喷射枪,weapon — transcreate,warn
Squishie,Blandito,Coxão Mole,プニプニ,스퀴시,小肉团子,transcreate player nickname; ja LOCKED to プニプニ (NOT スクイッシー); ability names keep スクイッシー,warn
Staggered,,,よろめき,,踉跄,"status effect — ja: よろめき, not スタン. ko/es/pt-BR TBD.",warn
Static Charge,Carga estática,Carga Estática,スタティックチャージ,정전기 충전,静电充能,mutation — transcreate,warn
Static Click,Clic estático,Clique Estático,スタティッククリック,정전기 클릭,静电咔哒,weapon — transcreate,warn
Static Spray,Spray estático,Spray Estático,スタティックスプレー,정전기 스프레이,静电扫射,weapon — transcreate,warn
Sticky Innards,Entrañas pegajosas,Entranhas Pegajosas,スティッキーな内臓,끈적한 내장,黏性内脏,mutation — transcreate,warn
Stunned,,,スタン,,眩晕,status effect — Distinct from Stagger — check context,warn
Sub Zeroni,Sub Zeroni,Sub Zeroni,サブ・ゼローニ,서브 제로니,零度意肠,planet — transcreate,warn
Submachine Gun,Metralleta,Submetralhadora,サブマシンガン,기관단총,冲锋枪,weapon — transcreate,warn
SWAPMEAT,SWAPMEAT,SWAPMEAT,SWAPMEAT,SWAPMEAT,SWAPMEAT,"keep-verbatim game title — verbatim, ALL CAPS (Lionbridge sheet's ""SwapMeat"" casing is wrong — flag)",strict
Sweet Tooth,Goloso,Dente Doce,スウィートトゥース,당분 중독,嗜甜牙,mutation — transcreate,warn
Tangus,Tangus,Tangus,タンガス,탱거스,唐古斯,transcreate -angus pun name,warn
Tangus Racer,Piloto corredor de Tangus,Corredor de Tangus,タンガスレーサー,탱거스 레이서,唐古斯赛车手,creature — transcreate,warn
Target Dummy,Maniquí de práctica,Boboneco,ターゲットダミー,표적 더미,目标假人,creature — transcreate,warn
Tempest,Tempestad,Tempestade,テンペスト,폭풍,节制,mutation — transcreate,warn
Terminal (ship UI),,,ターミナル,,,"UI term — ja: named ship terminals use ターミナル suffix, not 端末.",ignore
THREAT IMMINENT !!,AMENAZA INMINENTE!,AMEAÇA IMINENTE!,脅威接近中！！,위협이 임박했습니다!!,威胁迫在眉睫！！,threat banner,warn
Thunder Chest,Pecho de trueno,Peito de Trovão,サンダーチェスト,천둥 가슴,雷霆胸腔,mutation — transcreate,warn
Thunderclap,Tronido,Trovão,サンダークラップ,천둥벼락,霹雳雷鸣,weapon — transcreate,warn
Total Cost,Costo total,Custo Total,総コスト,총 비용,总消耗,UI term,ignore
Total Earnings,Ganancias totales,Ganhos totais,総収入,총 수익,总收益,UI term,ignore
Tower,Torre,Torre,タワー,타워,塔楼,creature — transcreate,warn
Trader Mike,Comerciante Mike,Comerciante Mike,トレーダー・マイク,트레이더 마이크,交易员迈克,keep-verbatim — keep 'Mike'; translate title 'Trader' (pt title-first per delivery; style guide had appositive — flag),strict
Trigger Finger,Gatillo fácil,Dedo no Gatilho,トリガーフィンガー,방아쇠 손가락,扳机手指,mutation — transcreate,warn
Void,Vacuo,Vazio,ヴォイド,보이드,沃伊德,transcreate pun creature (pairs with Null); es standardized to Vacuo,warn
Vol'Kay No,Vol'Kay No,Vul'Ka No,ヴォル・ケイ・ノー,볼'케이 노,沃尔卡诺,creature — transcreate,warn
Volt Gland,Glándula eléctrica,Glândula de Volt,ボルトグランド,전기 분비샘,伏特腺体,mutation — transcreate,warn
Weak Point,,,弱点,,薄弱点,"status effect — zh-Hans: 薄弱点, not 弱点",warn
Wee Beatrice,La pequeña Beatriz,Beatrizinha,ウィーベアトリス,위 베아트리스,小蜜翠丝,creature — transcreate,warn
What's in the Box,Qué hay en la caja,O Que Tem na Caixa?,箱の中身,상자 안에는 무엇이,盒子里有啥,solar system — transcreate,warn
Wheelie,Llantín,Calota,ウィーリー,휠리,暴走肉轮,transcreate creature,warn
Wrangler,Bronco,Domador,ラングラー,랭글러,牧马人,creature — transcreate,warn
Zorpjet,Zorpjet,Zorpjato,ゾープジェット,조르프젯,佐普喷气怪,transcreate creature,warn
